College:,Course:,Number of Students:
Pembroke,"Hum, Soc & Pol Sciences Tripos",10
Pembroke,Land Economy Tripos,3
Pembroke,Law Tripos,7
Pembroke,Linguistics Tripos,1
Pembroke,Mathematical Tripos,6
Pembroke,Medicine,7
Pembroke,Mod & Med Langs Tripos,5
Pembroke,Music Tripos,2
Pembroke,Natural Sciences Tripos,21
Pembroke,Philosophy Tripos,2
Pembroke,Psych & Behav Sciences Tripos,2
Pembroke,"Theo,Relig,&Philo of Re Tripos",2
Pembroke,Veterinary Medicine,1
Peterhouse,ASNC Tripos,1
Peterhouse,Archaeology Tripos,1
Peterhouse,Architecture Tripos,1
Peterhouse,Asian & Middle Eastern Studies,1
Peterhouse,Chem Eng via Nat Sciences,1
Peterhouse,Classical Tripos,1
Peterhouse,Classical Tripos Four Year,1
Peterhouse,Computer Science Tripos,2
Peterhouse,Economics Tripos,2
Peterhouse,Engineering Tripos,10
Peterhouse,English Tripos,6
Peterhouse,Historical Tripos,6
Peterhouse,History & Politics Tripos,2
Peterhouse,History and Mod Lang Tripos,1
Peterhouse,History of Art Tripos,2
Peterhouse,"Hum, Soc & Pol Sciences Tripos",2
Peterhouse,Law Tripos,11
Peterhouse,Linguistics Tripos,2
Peterhouse,Mathematical Tripos,7
Peterhouse,Medicine,7
Peterhouse,Mod & Med Langs Tripos,2
Peterhouse,Natural Sciences Tripos,11
Peterhouse,Philosophy Tripos,1
Peterhouse,"Theo,Relig,&Philo of Re Tripos",2
Queens',ASNC Tripos,2
Queens',Architecture Tripos,3
Queens',Asian & Middle Eastern Studies,2
Queens',Chem Eng via Nat Sciences,1
Queens',Classical Tripos,2
Queens',Computer Science Tripos,8
Queens',Economics Tripos,6
Queens',Education Tripos,3
Queens',Engineering Tripos,18
Queens',English Tripos,7
Queens',Geographical Tripos,4
Queens',Historical Tripos,6
Queens',History & Politics Tripos,3
Queens',History and Mod Lang Tripos,1
Queens',"Hum, Soc & Pol Sciences Tripos",6
Queens',Land Economy Tripos,2
Queens',Law Tripos,9
Queens',Linguistics Tripos,2
Queens',Mathematical Tripos,14
Queens',Medicine,10
Queens',Mod & Med Langs Tripos,7
Queens',Music Tripos,3
Queens',Natural Sciences Tripos,21
Queens',Psych & Behav Sciences Tripos,3
Queens',"Theo,Relig,&Philo of Re Tripos",2
Queens',Veterinary Medicine,2
Robinson,ASNC Tripos,2
Robinson,Archaeology Tripos,1
Robinson,Architecture Tripos,2
Robinson,Asian & Middle Eastern Studies,3
Robinson,Classical Tripos,1
Robinson,Classical Tripos Four Year,1
Robinson,Computer Science Tripos,6
Robinson,Economics Tripos,3
Robinson,Education Tripos,1
Robinson,Engineering Tripos,11
Robinson,English Tripos,6
Robinson,Geographical Tripos,4
Robinson,Historical Tripos,6
Robinson,History & Politics Tripos,2
Robinson,History and Mod Lang Tripos,2
Robinson,"Hum, Soc & Pol Sciences Tripos",5
Robinson,Land Economy Tripos,1
Robinson,Law Tripos,5
Robinson,Linguistics Tripos,1
Robinson,Mathematical Tripos,7
Robinson,Medicine,8
Robinson,Mod & Med Langs Tripos,5
Robinson,Music Tripos,2
Robinson,Natural Sciences Tripos,22
Robinson,Philosophy Tripos,3
Robinson,Psych & Behav Sciences Tripos,1
Robinson,"Theo,Relig,&Philo of Re Tripos",2
Robinson,Veterinary Medicine,3
Selwyn,ASNC Tripos,1
Selwyn,Archaeology Tripos,2
Selwyn,Architecture Tripos,3
Selwyn,Asian & Middle Eastern Studies,3
Selwyn,Classical Tripos,1
Selwyn,Classical Tripos Four Year,1
Selwyn,Computer Science Tripos,3
Selwyn,Economics Tripos,6
Selwyn,Education Tripos,2
Selwyn,Engineering Tripos,10
Selwyn,English Tripos,6
Selwyn,Geographical Tripos,3
Selwyn,Historical Tripos,6
Selwyn,History & Politics Tripos,4
Selwyn,History and Mod Lang Tripos,1
Selwyn,History of Art Tripos,1
Selwyn,"Hum, Soc & Pol Sciences Tripos",4
Selwyn,Land Economy Tripos,3
Selwyn,Law Tripos,7
Selwyn,Linguistics Tripos,2
Selwyn,Mathematical Tripos,5
Selwyn,Medicine,8
Selwyn,Mod & Med Langs Tripos,7
Selwyn,Music Tripos,4
Selwyn,Natural Sciences Tripos,20
Selwyn,Philosophy Tripos,2
Selwyn,Psych & Behav Sciences Tripos,2
Selwyn,"Theo,Relig,&Philo of Re Tripos",2
Selwyn,Theol for Ministry Exam,2
Selwyn,Veterinary Medicine,3
Sidney Sussex,ASNC Tripos,2
Sidney Sussex,Architecture Tripos,2
Sidney Sussex,Asian & Middle Eastern Studies,1
Sidney Sussex,Chem Eng via Nat Sciences,2
Sidney Sussex,Classical Tripos,2
Sidney Sussex,Computer Science Tripos,3
Sidney Sussex,Economics Tripos,6
Sidney Sussex,Engineering Tripos,11
Sidney Sussex,English Tripos,5
Sidney Sussex,Geographical Tripos,4
Sidney Sussex,Historical Tripos,5
Sidney Sussex,History & Politics Tripos,2
Sidney Sussex,History and Mod Lang Tripos,3
Sidney Sussex,"Hum, Soc & Pol Sciences Tripos",5
Sidney Sussex,Land Economy Tripos,2
Sidney Sussex,Law Tripos,4
Sidney Sussex,Linguistics Tripos,1
Sidney Sussex,Mathematical Tripos,7
Sidney Sussex,Medicine,9
Sidney Sussex,Mod & Med Langs Tripos,3
Sidney Sussex,Music Tripos,1
Sidney Sussex,Natural Sciences Tripos,19
Sidney Sussex,Philosophy Tripos,2
Sidney Sussex,Psych & Behav Sciences Tripos,4
Sidney Sussex,"Theo,Relig,&Philo of Re Tripos",1
Sidney Sussex,Veterinary Medicine,2
St Catharine's,ASNC Tripos,2
St Catharine's,Asian & Middle Eastern Studies,1
St Catharine's,Chem Eng via Engineering,1
St Catharine's,Chem Eng via Nat Sciences,1
St Catharine's,Classical Tripos,1
St Catharine's,Computer Science Tripos,3
St Catharine's,Economics Tripos,7
St Catharine's,Engineering Tripos,9
St Catharine's,English Tripos,6
St Catharine's,Geographical Tripos,7
St Catharine's,Historical Tripos,8
St Catharine's,History & Politics Tripos,1
St Catharine's,History and Mod Lang Tripos,1
St Catharine's,"Hum, Soc & Pol Sciences Tripos",6
St Catharine's,Land Economy Tripos,3
St Catharine's,Law Tripos,9
St Catharine's,Mathematical Tripos,10
St Catharine's,Medicine,11
St Catharine's,Mod & Med Langs Tripos,7
St Catharine's,Music Tripos,3
St Catharine's,Natural Sciences Tripos,28
St Catharine's,Philosophy Tripos,2
St Catharine's,Psych & Behav Sciences Tripos,3
St Catharine's,"Theo,Relig,&Philo of Re Tripos",2
St Catharine's,Veterinary Medicine,4
St John's,ASNC Tripos,2
St John's,Archaeology Tripos,1
St John's,Architecture Tripos,6
St John's,Asian & Middle Eastern Studies,3
St John's,Chem Eng via Engineering,1
St John's,Chem Eng via Nat Sciences,1
St John's,Classical Tripos,2
St John's,Classical Tripos Four Year,2
St John's,Computer Science Tripos,5
St John's,Economics Tripos,10
St John's,Education Tripos,2
St John's,Engineering Tripos,14
St John's,English Tripos,6
St John's,Geographical Tripos,5
St John's,Historical Tripos,8
St John's,History & Politics Tripos,3
St John's,History of Art Tripos,2
St John's,"Hum, Soc & Pol Sciences Tripos",10
St John's,Land Economy Tripos,2
St John's,Law Tripos,9
St John's,Linguistics Tripos,3
St John's,Mathematical Tripos,10
St John's,Medicine,16
St John's,Mod & Med Langs Tripos,9
St John's,Music Tripos,5
St John's,Natural Sciences Tripos,23
St John's,Philosophy Tripos,3
St John's,Psych & Behav Sciences Tripos,3
St John's,"Theo,Relig,&Philo of Re Tripos",2
St John's,Veterinary Medicine,3
Trinity,Archaeology Tripos,2
Trinity,Architecture Tripos,3
Trinity,Asian & Middle Eastern Studies,4
Trinity,Chem Eng via Engineering,2
Trinity,Classical Tripos,5
Trinity,Computer Science Tripos,6
Trinity,Economics Tripos,15
Trinity,Engineering Tripos,28
Trinity,English Tripos,8
Trinity,Geographical Tripos,1
Trinity,Historical Tripos,9
Trinity,History & Politics Tripos,1
Trinity,History and Mod Lang Tripos,2
Trinity,History of Art Tripos,1
Trinity,"Hum, Soc & Pol Sciences Tripos",4
Trinity,Land Economy Tripos,2
Trinity,Law Tripos,13
Trinity,Linguistics Tripos,2
Trinity,Mathematical Tripos,31
Trinity,Medicine,12
Trinity,Mod & Med Langs Tripos,8
Trinity,Music Tripos,5
Trinity,Natural Sciences Tripos,28
Trinity,Philosophy Tripos,4
Trinity,Psych & Behav Sciences Tripos,1
Trinity,"Theo,Relig,&Philo of Re Tripos",1
Trinity Hall,ASNC Tripos,1
Trinity Hall,Archaeology Tripos,1
Trinity Hall,Architecture Tripos,3
Trinity Hall,Asian & Middle Eastern Studies,1
Trinity Hall,Classical Tripos,2
Trinity Hall,Classical Tripos Four Year,2
Trinity Hall,Computer Science Tripos,4
Trinity Hall,Economics Tripos,4
Trinity Hall,Engineering Tripos,7
Trinity Hall,English Tripos,5
Trinity Hall,Geographical Tripos,3
Trinity Hall,Historical Tripos,4
Trinity Hall,History & Politics Tripos,3
Trinity Hall,History of Art Tripos,2
Trinity Hall,"Hum, Soc & Pol Sciences Tripos",6
Trinity Hall,Land Economy Tripos,4
Trinity Hall,Law Tripos,6
Trinity Hall,Mathematical Tripos,6
Trinity Hall,Medicine,8
Trinity Hall,Mod & Med Langs Tripos,6
Trinity Hall,Music Tripos,2
Trinity Hall,Natural Sciences Tripos,16
Trinity Hall,Philosophy Tripos,2
Trinity Hall,Psych & Behav Sciences Tripos,3
Trinity Hall,"Theo,Relig,&Philo of Re Tripos",2
Trinity Hall,Theol for Ministry Exam,2
Trinity Hall,Veterinary Medicine,2
